Year,County,Region,Child Population,% of Children in Total Population,Total Population
2024,Anderson,4-Tyler,10476,18,57947
2024,Andrews,9-Midland,8220,31,26744
2024,Angelina,5-Beaumont,22941,25,91535
2024,Aransas,11-Edinburg,5754,19,29800
2024,Archer,2-Abilene,1662,20,8185
2024,Armstrong,1-Lubbock,344,18,1953
2024,Atascosa,8-San Antonio,14154,26,55190
2024,Austin,6-Houston,7097,23,31156
2024,Bailey,1-Lubbock,2322,29,7936
2024,Bandera,8-San Antonio,3513,16,21519
2024,Bastrop,7-Austin,21698,24,91201
2024,Baylor,2-Abilene,830,23,3611
2024,Bee,11-Edinburg,7904,22,35408
2024,Bell,7-Austin,106064,29,370791
2024,Bexar,8-San Antonio,567782,25,2255958
2024,Blanco,7-Austin,2153,18,11913
2024,Borden,9-Midland,114,16,702
2024,Bosque,7-Austin,3733,21,17576
2024,Bowie,4-Tyler,18821,20,92331
2024,Brazoria,6-Houston,97408,24,404564
2024,Brazos,7-Austin,53404,22,245955
2024,Brewster,10-El Paso,2045,23,9002
2024,Briscoe,1-Lubbock,291,19,1537
2024,Brooks,11-Edinburg,1815,25,7138
2024,Brown,2-Abilene,8244,21,38992
2024,Burleson,7-Austin,4039,22,17980
2024,Burnet,7-Austin,10946,22,50447
2024,Caldwell,7-Austin,11452,24,46919
2024,Calhoun,8-San Antonio,5749,25,23277
2024,Callahan,2-Abilene,2473,18,13508
2024,Cameron,11-Edinburg,122299,28,433732
2024,Camp,4-Tyler,3368,25,13712
2024,Carson,1-Lubbock,1274,22,5729
2024,Cass,4-Tyler,6602,22,30029
2024,Castro,1-Lubbock,1826,27,6758
2024,Chambers,6-Houston,11842,26,46162
2024,Cherokee,4-Tyler,12997,25,52445
2024,Childress,1-Lubbock,1386,20,7028
2024,Clay,2-Abilene,1785,19,9357
2024,Cochran,1-Lubbock,980,28,3449
2024,Coke,9-Midland,650,20,3188
2024,Coleman,2-Abilene,1982,24,8345
2024,Collin,3-Arlington,272584,23,1164788
2024,Collingsworth,1-Lubbock,876,27,3296
2024,Colorado,6-Houston,5048,24,21391
2024,Comal,8-San Antonio,37473,22,167889
2024,Comanche,2-Abilene,2860,23,12652
2024,Concho,9-Midland,561,14,4157
2024,Cooke,3-Arlington,8915,22,40187
2024,Coryell,7-Austin,18943,24,79893
2024,Cottle,2-Abilene,314,21,1520
2024,Crane,9-Midland,2051,29,7145
2024,Crockett,9-Midland,999,24,4128
