Fiscal Year,County,Region,Removal Stage,Removals
2024,Anderson,4-Tyler,Family Preservation,10
2024,Anderson,4-Tyler,Investigation,11
2024,Andrews,9-Midland,Family Preservation,2
2024,Andrews,9-Midland,Investigation,1
2024,Angelina,5-Beaumont,Family Preservation,13
2024,Angelina,5-Beaumont,Investigation,27
2024,Aransas,11-Edinburg,Family Preservation,3
2024,Aransas,11-Edinburg,Investigation,5
2024,Archer,2-Abilene,Family Preservation,0
2024,Archer,2-Abilene,Investigation,3
2024,Armstrong,1-Lubbock,Family Preservation,0
2024,Armstrong,1-Lubbock,Investigation,1
2024,Atascosa,8-San Antonio,Family Preservation,20
2024,Atascosa,8-San Antonio,Investigation,8
2024,Bailey,1-Lubbock,Family Preservation,0
2024,Bailey,1-Lubbock,Investigation,1
2024,Bandera,8-San Antonio,Family Preservation,7
2024,Bandera,8-San Antonio,Investigation,8
2024,Bastrop,7-Austin,Family Preservation,11
2024,Bastrop,7-Austin,Investigation,21
2024,Baylor,2-Abilene,Family Preservation,0
2024,Baylor,2-Abilene,Investigation,4
2024,Bee,11-Edinburg,Family Preservation,0
2024,Bee,11-Edinburg,Investigation,3
2024,Bell,7-Austin,Family Preservation,45
2024,Bell,7-Austin,Investigation,293
2024,Bexar,8-San Antonio,Family Preservation,384
2024,Bexar,8-San Antonio,Investigation,618
2024,Blanco,7-Austin,Family Preservation,2
2024,Blanco,7-Austin,Investigation,2
2024,Bosque,7-Austin,Family Preservation,0
2024,Bosque,7-Austin,Investigation,14
2024,Bowie,4-Tyler,Family Preservation,9
2024,Bowie,4-Tyler,Investigation,30
2024,Brazoria,6-Houston,Family Preservation,16
2024,Brazoria,6-Houston,Investigation,21
2024,Brazos,7-Austin,Family Preservation,10
2024,Brazos,7-Austin,Investigation,64
2024,Brewster,10-El Paso,Family Preservation,0
2024,Brewster,10-El Paso,Investigation,2
2024,Brooks,11-Edinburg,Family Preservation,5
2024,Brooks,11-Edinburg,Investigation,0
2024,Brown,2-Abilene,Family Preservation,4
2024,Brown,2-Abilene,Investigation,19
2024,Burleson,7-Austin,Family Preservation,9
2024,Burleson,7-Austin,Investigation,3
2024,Burnet,7-Austin,Family Preservation,3
2024,Burnet,7-Austin,Investigation,31
2024,Caldwell,7-Austin,Family Preservation,0
2024,Caldwell,7-Austin,Investigation,14
2024,Calhoun,8-San Antonio,Family Preservation,4
2024,Calhoun,8-San Antonio,Investigation,1
2024,Callahan,2-Abilene,Family Preservation,1
2024,Callahan,2-Abilene,Investigation,9
2024,Cameron,11-Edinburg,Family Preservation,104
2024,Cameron,11-Edinburg,Investigation,70
2024,Camp,4-Tyler,Family Preservation,1
2024,Camp,4-Tyler,Investigation,4
2024,Carson,1-Lubbock,Family Preservation,0
2024,Carson,1-Lubbock,Investigation,4
2024,Cass,4-Tyler,Family Preservation,10
2024,Cass,4-Tyler,Investigation,18
2024,Castro,1-Lubbock,Family Preservation,4
2024,Castro,1-Lubbock,Investigation,2
2024,Chambers,6-Houston,Family Preservation,0
2024,Chambers,6-Houston,Investigation,7
2024,Cherokee,4-Tyler,Family Preservation,12
2024,Cherokee,4-Tyler,Investigation,20
2024,Clay,2-Abilene,Family Preservation,3
2024,Clay,2-Abilene,Investigation,6
2024,Coleman,2-Abilene,Family Preservation,2
2024,Coleman,2-Abilene,Investigation,12
2024,Collin,3-Arlington,Family Preservation,27
2024,Collin,3-Arlington,Investigation,95
2024,Colorado,6-Houston,Family Preservation,4
2024,Colorado,6-Houston,Investigation,0
2024,Comal,8-San Antonio,Family Preservation,15
2024,Comal,8-San Antonio,Investigation,42
2024,Comanche,2-Abilene,Family Preservation,11
2024,Comanche,2-Abilene,Investigation,13
2024,Cooke,3-Arlington,Family Preservation,0
2024,Cooke,3-Arlington,Investigation,10
2024,Coryell,7-Austin,Family Preservation,1
2024,Coryell,7-Austin,Investigation,37
2024,Cottle,2-Abilene,Family Preservation,0
2024,Cottle,2-Abilene,Investigation,1
2024,Crosby,1-Lubbock,Family Preservation,0
2024,Crosby,1-Lubbock,Investigation,3
2024,Dallam,1-Lubbock,Family Preservation,4
2024,Dallam,1-Lubbock,Investigation,25
2024,Dallas,3-Arlington,Family Preservation,85
2024,Dallas,3-Arlington,Investigation,690
2024,DeWitt,8-San Antonio,Family Preservation,5
2024,DeWitt,8-San Antonio,Investigation,6
2024,Deaf Smith,1-Lubbock,Family Preservation,0
2024,Deaf Smith,1-Lubbock,Investigation,8
2024,Delta,4-Tyler,Family Preservation,0
2024,Delta,4-Tyler,Investigation,2
2024,Denton,3-Arlington,Family Preservation,65
2024,Denton,3-Arlington,Investigation,133
2024,Dickens,1-Lubbock,Family Preservation,0
2024,Dickens,1-Lubbock,Investigation,1
2024,Dimmit,8-San Antonio,Family Preservation,0
2024,Dimmit,8-San Antonio,Investigation,6
2024,Donley,1-Lubbock,Family Preservation,5
2024,Donley,1-Lubbock,Investigation,2
